"Timestamp","What year are you? ","What is your major/concentration?","Second concentration? (if none, select N/A)","Minor? (if none select N/A)","What class was the assignment for (Please write as said in BrightSpace)","What field of study was the assignment in?","What type of assignment was it?","Approximately how long did it take (in hours)","What was the extent of your reliance on external resources? ","Where did you primarily work on the assignment?","Did you work in a group?","Did you have to submit the assignment in person (physical copy)?","Approximately how many separate work sessions did you spend on this assignment? (1 or more)","Who referred you to this survey?"
"2025/10/20 9:20:52 PM EST","2027","Computer Science","Mathematics","N/A"," MA-UY MATH-UA 3014 333 2025 Fall 003 B","Mathematics","Problem Set","3","Textbook / class materials","At home/private setting","No","No","1","Kyle"
"2025/10/20 9:26:01 PM EST","2027","Finance","Data Science","Computer Science","CSCI-UA 310","Computer Science","Problem Set","4","Google/internet","School/library","No","No","2","Kyle"
"2025/10/20 9:28:55 PM EST","2026","Computer Engineering","N/A","Business Administration","Regression","Business Administration","Problem Set","2","Textbook / class materials","At home/private setting","No","No","1","Kyle"
"2025/10/20 9:34:24 PM EST","2026","Data Science","Computer Science","Business Administration","Applied Internet Technology ","Computer Science","Coding Assignment","5","AI / Chatgpt","School/library","No","No","3","Kyle"
"2025/10/20 9:35:26 PM EST","2026","Computer Science","Data Science","Business Administration","Data Management and Analysis ","Data Science","Coding Assignment","3","AI / Chatgpt","School/library","No","No","2","Kyle"
"2025/10/20 11:08:52 PM EST","2026","Computer Science","Data Science","Business Administration","Integration Essay 2","Business Administration","Creative Writing/Essay","1","Google/internet","At home/private setting","No","No","1","Kyle"
"2025/10/21 5:37:48 AM EST","2026","Finance","Marketing","N/A","Case Management","Marketing","Case Study","6","Google/internet","School/library","No","No","2","Kyle"
"2025/10/21 8:36:31 AM EST","2026","Public Policy","Data Science","Sustainability","Essay","Psychology","Creative Writing/Essay","2 ","Textbook / class materials","School/library","No","No","1","Kyle"
"2025/10/21 8:38:04 AM EST","2027","Finance","Management","Linguistics","FINC-UB 7","Finance","Problem Set","2","Textbook / class materials","At home/private setting","No","No","1","Raj"
"2025/10/21 10:17:14 AM EST","2027","Computer Science","Mathematics","Psychology","Calculus 3","Mathematics","Problem Set","2","Textbook / class materials","At home/private setting","No","No","1","Raj"
"2025/10/21 11:53:02 AM EST","2027","Finance","Data Science","N/A","EGB","Economics","Problem Set","5","AI / Chatgpt","At home/private setting","Yes","Yes","1","Raj"
"2025/10/21 1:14:08 PM EST","2027","Statistics","N/A","Biology","N/A","Biology","Problem Set","1","Textbook / class materials","At home/private setting","No","No","1","Raj"
"2025/10/21 1:33:34 PM EST","2027","Business Administration","N/A","N/A","FA25 Tech.Ub.1: Information Technology in Business & Society","Computer Science","Coding Assignment","1","Textbook / class materials","At home/private setting","No","No","1","Raj"
"2025/10/21 2:58:18 PM EST","2026","Management","Computer Science","N/A","DMA","Computer Science","Coding Assignment","0.5","Textbook / class materials","At home/private setting","No","No","1","Raj"
"2025/10/21 3:38:11 PM EST","2026","Psychology","Pre-Med / Biology (Health Sciences)","N/A","Contexts and Cultures: Islamic Societies","History","Creative Writing/Essay","5","Textbook / class materials","Other public setting (cafe, etc.)","No","No","5","Raj"
"2025/10/21 6:06:44 PM EST","2027","Business Administration","N/A","Public Policy","Module 12, Study Question","Legal Studies","Discussion post/short written assignment",".75","Google/internet","School/library","No","No","1","Raj"
"2025/10/23 6:05:31 PM EST","2029","Political Science","Economics","Mathematics","Discrete Math","Mathematics","Problem Set","6","AI / Chatgpt","School/library","No","No","3","Raj"
"2025/10/23 6:06:44 PM EST","2029","Political Science","Economics","Mathematics","Intro to Economic and Political Thought","English / Literature","Research Paper","5","Google/internet","At home/private setting","No","No","6","Raj"
"2025/10/23 6:07:51 PM EST","2029","Political Science","Economics","Mathematics","Intro to Economic and Political Thought","Political Science","Readings (textbooks or otherwise)","3","Textbook / class materials","At home/private setting","No","No","2","Raj"
"2025/10/23 6:08:50 PM EST","2028","Data Analytics","Marketing","English / Literature","Economy and Business of Singapore","Business Administration","Creative Writing/Essay","4","Textbook / class materials","At home/private setting","No","No","3","Raj"
"2025/10/23 6:09:11 PM EST","2028","Design / Graphic Design","N/A","N/A","Projects in Programming and Data Sciences","Data Science","Coding Assignment","10","Google/internet","School/library","Yes","No","1","Ndioro"
"2025/10/23 6:10:13 PM EST","2026","Management Information Systems (MIS)","N/A","N/A","Network Security","Information Technology","Discussion post/short written assignment","1 ","Google/internet","At home/private setting","No","No","1","Raj"
